site,treat,ID,year,cover
4,exclosure,40,2004,16.33333333
4,control,41,2004,6.444444444
4,control,42,2004,26.66666667
4,control,43,2004,29.88888889
4,control,44,2004,12.44444444
5,exclosure,49,2004,138.6666667
5,exclosure,50,2004,130.8888889
5,exclosure,51,2004,146.3333333
5,exclosure,52,2004,115.2222222
5,control,53,2004,101.3333333
5,control,54,2004,86.44444444
5,control,55,2004,64.22222222
5,control,56,2004,84.77777778
6,exclosure,61,2004,26.66666667
6,exclosure,62,2004,0
6,exclosure,63,2004,56.11111111
6,exclosure,64,2004,48
6,control,65,2004,1.666666667
6,control,66,2004,4.666666667
6,control,67,2004,6.111111111
6,control,68,2004,47.66666667
1,exclosure,1,2005,76
1,exclosure,2,2005,84.44444444
1,exclosure,3,2005,113.8888889
1,exclosure,4,2005,85.55555556
1,control,5,2005,13.66666667
1,control,6,2005,24.33333333
1,control,7,2005,144.4444444
1,control,8,2005,24.77777778
2,exclosure,13,2005,0
2,exclosure,14,2005,0
2,exclosure,15,2005,15.55555556
2,exclosure,16,2005,41.11111111
2,control,17,2005,0.333333333
2,control,18,2005,8.444444444
2,control,19,2005,0.055555556
2,control,20,2005,3.666666667
3,exclosure,25,2005,87.33333333
3,exclosure,26,2005,111.2222222
3,exclosure,27,2005,156.6666667
3,exclosure,28,2005,162.2222222
3,control,29,2005,11.66666667
3,control,30,2005,100.2222222
3,control,31,2005,126.1111111
3,control,32,2005,116.1111111
4,exclosure,37,2005,56.11111111
4,exclosure,38,2005,78.88888889
4,exclosure,39,2005,32.66666667
4,exclosure,40,2005,12.55555556
4,control,41,2005,6
4,control,42,2005,30
4,control,43,2005,24.66666667
4,control,44,2005,9.333333333
5,exclosure,49,2005,127.2222222
5,exclosure,50,2005,140.7777778
5,exclosure,51,2005,137.4444444
5,exclosure,52,2005,120.5555556
5,control,53,2005,109.6666667
5,control,54,2005,79.66666667
5,control,55,2005,54.22222222
5,control,56,2005,83.44444444
6,exclosure,61,2005,16.05555556
6,exclosure,62,2005,0
6,exclosure,63,2005,62.22222222
6,exclosure,64,2005,41.66666667
6,control,65,2005,5.555555556
6,control,66,2005,6.111111111
6,control,67,2005,11.44444444
6,control,68,2005,51.66666667
1,exclosure,1,2006,85.67
1,exclosure,2,2006,92
1,exclosure,3,2006,114
1,exclosure,4,2006,88.33
1,control,5,2006,11.11
1,control,6,2006,23.5
1,control,7,2006,144
1,control,8,2006,9.39
2,exclosure,13,2006,3.33
2,exclosure,14,2006,0
2,exclosure,15,2006,17.22
2,exclosure,16,2006,89.44
2,control,17,2006,0.11
2,control,18,2006,3.78
2,control,19,2006,0.01
2,control,20,2006,2.89
3,exclosure,25,2006,86.22
3,exclosure,26,2006,118.33
3,exclosure,27,2006,167.22
3,exclosure,28,2006,160
3,control,29,2006,13.67
3,control,30,2006,98.33
3,control,31,2006,109.44
3,control,32,2006,153.78
4,exclosure,37,2006,76.67
4,exclosure,38,2006,71.56
4,exclosure,39,2006,26.33
4,exclosure,40,2006,16.33
4,control,41,2006,5.11
4,control,42,2006,30.56
4,control,43,2006,28
4,control,44,2006,4.44
5,exclosure,49,2006,112.22
5,exclosure,50,2006,127.78
5,exclosure,51,2006,160
5,exclosure,52,2006,139
5,control,53,2006,122.56
5,control,54,2006,94.23
5,control,55,2006,53.11
5,control,56,2006,88
6,exclosure,61,2006,39
6,exclosure,62,2006,0.56
6,exclosure,63,2006,81.67
6,exclosure,64,2006,58.89
6,control,65,2006,17.78
6,control,66,2006,1.11
6,control,67,2006,17.33
6,control,68,2006,44.44
